"SNP","PMID","Title","Date","Pvalue","ORvalue","Ethnicity","Patient group Size","Control group Size","Frequency","Text Evidence"
"rs3732378"," 26464724  ","CX3CR1 polymorphisms and the risk of age-related macular degeneration.","2015-08-01"," 0.05"," 2.391"," "," 102"," 115"," 2","+"
"rs3732378"," 26464724  ","CX3CR1 polymorphisms and the risk of age-related macular degeneration.","2015-08-01"," 0.025"," "," "," 102"," 115"," 2","+"
"rs3732379"," 26464724  ","CX3CR1 polymorphisms and the risk of age-related macular degeneration.","2015-08-01"," 8.663"," 8.663"," "," 102"," 115"," 5","+"
"rs3732379"," 26464724  ","CX3CR1 polymorphisms and the risk of age-related macular degeneration.","2015-08-01"," 0.021"," 2.076"," "," 102"," 115"," 5","+"
"rs3732379"," 26464724  ","CX3CR1 polymorphisms and the risk of age-related macular degeneration.","2015-08-01"," 0.05"," 8.274"," "," 102"," 115"," 5","+"
"rs3732379"," 26464724  ","CX3CR1 polymorphisms and the risk of age-related macular degeneration.","2015-08-01"," 0.029"," 2.033"," "," 102"," 115"," 5","+"
"rs3732379"," 26464724  ","CX3CR1 polymorphisms and the risk of age-related macular degeneration.","2015-08-01"," 0.029"," "," "," 102"," 115"," 5","+"
"rs5743708"," 26398587  ","Toll-Like Receptors 2 and 4 Polymorphisms in Age-Related Macular Degeneration.","2015-09-23"," 0.001"," 3.88"," "," 5"," "," 1","+"
"rs4986790"," 26398587  ","Toll-Like Receptors 2 and 4 Polymorphisms in Age-Related Macular Degeneration.","2015-09-23"," 0.001"," "," "," 5"," "," 1","+"
"rs4986791"," 26398587  ","Toll-Like Receptors 2 and 4 Polymorphisms in Age-Related Macular Degeneration.","2015-09-23"," 0.001"," "," "," 5"," "," 1","+"
"rs1800795"," 26330749  ","Association of gene polymorphism with serum levels of inflammatory and angiogenic factors in Pakistani patients with age-related macular degeneration.","2015-08-29"," 0.0001"," "," Pakistani"," 90"," 100"," 1","+"
"rs2227543"," 26330749  ","Association of gene polymorphism with serum levels of inflammatory and angiogenic factors in Pakistani patients with age-related macular degeneration.","2015-08-29"," 0.002"," "," Pakistani"," 90"," 100"," 1","+"
"rs3025039"," 26330749  ","Association of gene polymorphism with serum levels of inflammatory and angiogenic factors in Pakistani patients with age-related macular degeneration.","2015-08-29"," 0.038"," "," Pakistani"," 90"," 100"," 2","+"
"rs10490924"," 26275133  ","The Contribution of Genetic Architecture to the 10-Year Incidence of Age-Related Macular Degeneration in the Fellow Eye.",""," 0.0034"," "," "," 891"," "," 55","+"
"rs800292"," 26275133  ","The Contribution of Genetic Architecture to the 10-Year Incidence of Age-Related Macular Degeneration in the Fellow Eye.",""," 0.013"," "," "," 891"," "," 16","+"
"rs4073"," 26154559  ","The genetic variant rs4073 A→T of the Interleukin-8 promoter region is associated with the earlier onset of exudative age-related macular degeneration.","2015-07-08"," 0.009"," "," "," 72"," 119"," 1","+"
"rs1061170"," 26154559  ","The genetic variant rs4073 A→T of the Interleukin-8 promoter region is associated with the earlier onset of exudative age-related macular degeneration.","2015-07-08"," 0.016"," "," "," 72"," 119"," 38","+"
"rs10490924"," 26154559  ","The genetic variant rs4073 A→T of the Interleukin-8 promoter region is associated with the earlier onset of exudative age-related macular degeneration.","2015-07-08"," 0.001"," "," "," 72"," 119"," 55","+"
"rs2230199"," 26154559  ","The genetic variant rs4073 A→T of the Interleukin-8 promoter region is associated with the earlier onset of exudative age-related macular degeneration.","2015-07-08"," 0.002"," "," "," 72"," 119"," 18","+"
"rs1061170"," 26154559  ","The genetic variant rs4073 A→T of the Interleukin-8 promoter region is associated with the earlier onset of exudative age-related macular degeneration.","2015-07-08"," 0.0001"," "," "," 72"," 119"," 38","+"
"rs10490924"," 26154559  ","The genetic variant rs4073 A→T of the Interleukin-8 promoter region is associated with the earlier onset of exudative age-related macular degeneration.","2015-07-08"," 0.0001"," "," "," 72"," 119"," 55","+"
"rs943080"," 25903050  ","Thyroid function and age-related macular degeneration: a prospective population-based cohort study--the Rotterdam Study.","2015-04-23"," 0.00012"," "," "," 5573"," "," 5","+"
"rs2059614"," 25890600  ","Identification of novel genetic markers of breast cancer survival.","2015-04-18"," 1.91e-08"," "," European"," 2113"," "," 1","+"
"rs7739323"," 25872646  ","Whole-exome sequencing implicates UBE3D in age-related macular degeneration in East Asian populations.","2015-04-15"," 1.46e-09"," 0.74"," East Asian"," 3772"," 6942"," 1","+"
"rs1136287"," 25820866  ","Association of PEDF polymorphisms with age-related macular degeneration and polypoidal choroidal vasculopathy: a systematic review and meta-analysis.","2015-03-30"," 0.64"," "," "," 317"," 371"," 3","+"
"rs2511989"," 25800435  ","Ethnic differences in the association of SERPING1 with age-related macular degeneration and polypoidal choroidal vasculopathy.","2015-03-24"," 0.98"," "," Chinese Caucasians East Asians"," "," 275"," 14","+"
"rs2511989"," 25800435  ","Ethnic differences in the association of SERPING1 with age-related macular degeneration and polypoidal choroidal vasculopathy.","2015-03-24"," 0.04"," "," Chinese Caucasians East Asians"," "," 275"," 14","+"
"rs2303790"," 25629512  ","New loci and coding variants confer risk for age-related macular degeneration in East Asians.","2015-01-28"," 5.6e-22"," 1.70"," Europeans Asians East Asian East Asians"," 4226"," 10289"," 2","+"
"rs800292"," 25612476  ","Investigating the CFH Gene Polymorphisms as a Risk Factor for Age-related Macular Degeneration in an Iranian Population.","2015-01-23"," 0.001"," "," Iranian"," 100"," "," 16","+"
"rs2274700"," 25612476  ","Investigating the CFH Gene Polymorphisms as a Risk Factor for Age-related Macular Degeneration in an Iranian Population.","2015-01-23"," 0.001"," "," Iranian"," 100"," "," 8","+"
"rs3753395"," 25612476  ","Investigating the CFH Gene Polymorphisms as a Risk Factor for Age-related Macular Degeneration in an Iranian Population.","2015-01-23"," 0.001"," "," Iranian"," 100"," "," 1","+"
"rs1061170"," 25612476  ","Investigating the CFH Gene Polymorphisms as a Risk Factor for Age-related Macular Degeneration in an Iranian Population.","2015-01-23"," 0.001"," "," Iranian"," 100"," "," 38","+"
"rs3025039"," 25558172  ","Pharmacogenetic associations with long-term response to anti-vascular endothelial growth factor treatment in neovascular AMD patients.","2014-12-19"," 0.0434"," "," Korean Bonferroni"," 394"," "," 2","+"
"rs10490924"," 25558172  ","Pharmacogenetic associations with long-term response to anti-vascular endothelial growth factor treatment in neovascular AMD patients.","2014-12-19"," 0.0656"," "," Korean Bonferroni"," 394"," "," 55","+"
"rs1100638"," 25558172  ","Pharmacogenetic associations with long-term response to anti-vascular endothelial growth factor treatment in neovascular AMD patients.","2014-12-19"," 0.0528"," "," Korean Bonferroni"," 394"," "," 1","+"
"rs6982567"," 25416513  ","Association of rs6982567 near GDF6 with neovascular age-related macular degeneration and polypoidal choroidal vasculopathy in a Han Chinese cohort.","2014-11-22"," 0.0351"," "," Caucasians"," 157"," 204"," 2","+"
"rs17030"," 25388911  ","Gender specific association of a complement component 3 polymorphism with polypoidal choroidal vasculopathy.","2014-11-12"," 0.008"," 2.94"," "," 233"," 275"," 4","+"
"rs17030"," 25388911  ","Gender specific association of a complement component 3 polymorphism with polypoidal choroidal vasculopathy.","2014-11-12"," 0.02"," "," "," 233"," 275"," 4","+"
"rs17030"," 25388911  ","Gender specific association of a complement component 3 polymorphism with polypoidal choroidal vasculopathy.","2014-11-12"," 0.01"," 1.56"," "," 233"," 275"," 4","+"
"rs17030"," 25388911  ","Gender specific association of a complement component 3 polymorphism with polypoidal choroidal vasculopathy.","2014-11-12"," 0.01"," 0.64"," "," 233"," 275"," 4","+"
"rs344555"," 25388911  ","Gender specific association of a complement component 3 polymorphism with polypoidal choroidal vasculopathy.","2014-11-12"," 0.01"," "," "," 233"," 275"," 1","+"
"rs2511989"," 25352749  ","Relationship between SERPING1 rs2511989 polymorphism and age-related macular degeneration risk: a meta-analysis.","2014-10-17"," 0.02"," 1.09"," Caucasians Asians"," 7159"," 5797"," 14","+"
"rs2511989"," 25352749  ","Relationship between SERPING1 rs2511989 polymorphism and age-related macular degeneration risk: a meta-analysis.","2014-10-17"," 0.014"," 1.14"," Caucasians Asians"," 7159"," 5797"," 14","+"
"rs2511989"," 25352749  ","Relationship between SERPING1 rs2511989 polymorphism and age-related macular degeneration risk: a meta-analysis.","2014-10-17"," 0.012"," 1.10"," Caucasians Asians"," 7159"," 5797"," 14","+"
"rs2511989"," 25352749  ","Relationship between SERPING1 rs2511989 polymorphism and age-related macular degeneration risk: a meta-analysis.","2014-10-17"," 0.002"," 1.20"," Caucasians Asians"," 7159"," 5797"," 14","+"
"rs2511989"," 25352749  ","Relationship between SERPING1 rs2511989 polymorphism and age-related macular degeneration risk: a meta-analysis.","2014-10-17"," 0.05"," "," Caucasians Asians"," 7159"," 5797"," 14","+"
"rs2511989"," 25352749  ","Relationship between SERPING1 rs2511989 polymorphism and age-related macular degeneration risk: a meta-analysis.","2014-10-17"," 0.05"," "," Caucasians Asians"," 7159"," 5797"," 14","+"
"rs2075650"," 25304313  ","No evidence of association between variant rs2075650 in lipid metabolism-related locus APOE/TOMM40 and advanced age-related macular degeneration in Han Chinese population.","2014-10-10"," 0.348"," "," European Chinese"," 204"," 1536"," 7","+"
"rs2075650"," 25304313  ","No evidence of association between variant rs2075650 in lipid metabolism-related locus APOE/TOMM40 and advanced age-related macular degeneration in Han Chinese population.","2014-10-10"," 0.89"," "," European Chinese"," 204"," 1536"," 7","+"
"rs78488639"," 25277308  ","FPR1 interacts with CFH, HTRA1 and smoking in exudative age-related macular degeneration and polypoidal choroidal vasculopathy.","2014-10-03"," 0.043"," "," Chinese"," 179"," 220"," 2","+"
"rs867229"," 25277308  ","FPR1 interacts with CFH, HTRA1 and smoking in exudative age-related macular degeneration and polypoidal choroidal vasculopathy.","2014-10-03"," 0.016"," "," Chinese"," 179"," 220"," 2","+"
"rs1042229"," 25277308  ","FPR1 interacts with CFH, HTRA1 and smoking in exudative age-related macular degeneration and polypoidal choroidal vasculopathy.","2014-10-03"," 0.0394"," 2.27"," Chinese"," 179"," 220"," 1","+"
"rs2070746"," 25277308  ","FPR1 interacts with CFH, HTRA1 and smoking in exudative age-related macular degeneration and polypoidal choroidal vasculopathy.","2014-10-03"," 0.019"," 0.57"," Chinese"," 179"," 220"," 1","+"
"rs867229"," 25277308  ","FPR1 interacts with CFH, HTRA1 and smoking in exudative age-related macular degeneration and polypoidal choroidal vasculopathy.","2014-10-03"," 0.0082"," 0.54"," Chinese"," 179"," 220"," 2","+"
"rs800292"," 25277308  ","FPR1 interacts with CFH, HTRA1 and smoking in exudative age-related macular degeneration and polypoidal choroidal vasculopathy.","2014-10-03"," 0.000222"," 10"," Chinese"," 179"," 220"," 16","+"
"rs78488639"," 25277308  ","FPR1 interacts with CFH, HTRA1 and smoking in exudative age-related macular degeneration and polypoidal choroidal vasculopathy.","2014-10-03"," 0.000222"," "," Chinese"," 179"," 220"," 2","+"
"rs1061170"," 25205864  ","Genetic determinants of age-related macular degeneration in diverse populations from the PAGE study.","2014-09-09"," 3.05e-08"," "," European Americans African Mexican Singaporeans African Americans"," "," "," 38","+"
"rs10490924"," 25205864  ","Genetic determinants of age-related macular degeneration in diverse populations from the PAGE study.","2014-09-09"," 6.36e-06"," "," European Americans African Mexican Singaporeans African Americans"," "," "," 55","+"
"rs328"," 25205864  ","Genetic determinants of age-related macular degeneration in diverse populations from the PAGE study.","2014-09-09"," 0.05"," "," European Americans African Mexican Singaporeans African Americans"," "," "," 1","+"
"rs6987702"," 25205864  ","Genetic determinants of age-related macular degeneration in diverse populations from the PAGE study.","2014-09-09"," 0.05"," "," European Americans African Mexican Singaporeans African Americans"," "," "," 1","+"
"rs1800775"," 25205864  ","Genetic determinants of age-related macular degeneration in diverse populations from the PAGE study.","2014-09-09"," 0.05"," "," European Americans African Mexican Singaporeans African Americans"," "," "," 2","+"
"rs2338104"," 25205864  ","Genetic determinants of age-related macular degeneration in diverse populations from the PAGE study.","2014-09-09"," 0.05"," "," European Americans African Mexican Singaporeans African Americans"," "," "," 1","+"
"rs1061170"," 25125603  ","Sunlight exposure, pigmentation, and incident age-related macular degeneration.","2014-08-14"," 0.02"," "," "," "," "," 38","+"
"rs10490924"," 25125603  ","Sunlight exposure, pigmentation, and incident age-related macular degeneration.","2014-08-14"," 0.02"," "," "," "," "," 55","+"
"rs2275913AA"," 25028103  ","Genetic variants of interleukin 17A are functionally associated with increased risk of age-related macular degeneration.",""," 0.023"," "," "," "," "," 1","+"
"rs3748067TT"," 25028103  ","Genetic variants of interleukin 17A are functionally associated with increased risk of age-related macular degeneration.",""," 0.004"," "," "," "," "," 1","+"
"rs1061170"," 24974817  ","No clinically significant association between CFH and ARMS2 genotypes and response to nutritional supplements: AREDS report number 38.","2014-06-26"," 0.06"," "," "," "," "," 38","+"
"rs1410996"," 24974817  ","No clinically significant association between CFH and ARMS2 genotypes and response to nutritional supplements: AREDS report number 38.","2014-06-26"," 0.45"," "," "," "," "," 15","+"
"rs1061170"," 24970616  ","The contribution of genetic factors to phenotype and progression of drusen in early age-related macular degeneration.","2014-06-28"," 0.05"," 2.3"," "," 406"," 170"," 38","+"
"rs2072633"," 24965207  ","Associations of complement factor B and complement component 2 genotypes with subtypes of polypoidal choroidal vasculopathy.","2014-06-25"," 0.03"," "," "," 274"," "," 2","+"
"rs429608"," 24865191  ","Genetic variants in the SKIV2L gene in exudative age-related macular degeneration in the Japanese population.","2014-05-27"," 0.002"," "," Japanese"," 333"," 205"," 9","+"
"rs429608"," 24865191  ","Genetic variants in the SKIV2L gene in exudative age-related macular degeneration in the Japanese population.","2014-05-27"," 0.003"," "," Japanese"," 333"," 205"," 9","+"
"rs429608"," 24865191  ","Genetic variants in the SKIV2L gene in exudative age-related macular degeneration in the Japanese population.","2014-05-27"," 0.0345"," "," Japanese"," 333"," 205"," 9","+"
"rs429608"," 24865191  ","Genetic variants in the SKIV2L gene in exudative age-related macular degeneration in the Japanese population.","2014-05-27"," 0.001"," 0.24"," Japanese"," 333"," 205"," 9","+"
"rs429608"," 24865191  ","Genetic variants in the SKIV2L gene in exudative age-related macular degeneration in the Japanese population.","2014-05-27"," 0.001"," 0.43"," Japanese"," 333"," 205"," 9","+"
"rs429608"," 24865191  ","Genetic variants in the SKIV2L gene in exudative age-related macular degeneration in the Japanese population.","2014-05-27"," 0.011"," 0.09"," Japanese"," 333"," 205"," 9","+"
"rs1061170"," 24863099  ","Flicker-induced retinal vasodilatation is not dependent on complement factor H polymorphism in healthy young subjects.","2014-05-26"," 0.38"," "," "," 31"," "," 38","+"
"rs1061170"," 24863099  ","Flicker-induced retinal vasodilatation is not dependent on complement factor H polymorphism in healthy young subjects.","2014-05-26"," 0.62"," "," "," 31"," "," 38","+"
"rs9943922"," 24812550  ","FLT1 genetic variation predisposes to neovascular AMD in ethnically diverse populations and alters systemic FLT1 expression.","2014-05-08"," 0.0086"," "," "," "," "," 2","+"
"rs7324510"," 24812550  ","FLT1 genetic variation predisposes to neovascular AMD in ethnically diverse populations and alters systemic FLT1 expression.","2014-05-08"," 0.0057"," "," "," "," "," 1","+"
"rs6795735"," 24675670  ","Impact of the common genetic associations of age-related macular degeneration upon systemic complement component C3d levels.","2014-03-27"," 0.04"," "," "," 1387"," 1268"," 1","+"
"rs2230199"," 24675670  ","Impact of the common genetic associations of age-related macular degeneration upon systemic complement component C3d levels.","2014-03-27"," 0.04"," "," "," 1387"," 1268"," 18","+"
"rs1410996"," 24675670  ","Impact of the common genetic associations of age-related macular degeneration upon systemic complement component C3d levels.","2014-03-27"," 0.0001"," "," "," 1387"," 1268"," 15","+"
"rs800292"," 24675670  ","Impact of the common genetic associations of age-related macular degeneration upon systemic complement component C3d levels.","2014-03-27"," 0.003"," "," "," 1387"," 1268"," 16","+"
"rs12144939"," 24675670  ","Impact of the common genetic associations of age-related macular degeneration upon systemic complement component C3d levels.","2014-03-27"," 4.6e-06"," "," "," 1387"," 1268"," 1","+"
"rs4151667"," 24675670  ","Impact of the common genetic associations of age-related macular degeneration upon systemic complement component C3d levels.","2014-03-27"," 1.01e-05"," "," "," 1387"," 1268"," 7","+"
"rs11645428"," 24586510  ","The relationship between BCMO1 gene variants and macular pigment optical density in persons with and without age-related macular degeneration.","2014-02-19"," 0.01"," "," "," 24"," 20"," 3","+"
"rs6420424"," 24586510  ","The relationship between BCMO1 gene variants and macular pigment optical density in persons with and without age-related macular degeneration.","2014-02-19"," 0.01"," "," "," 24"," 20"," 3","+"
"rs6564851"," 24586510  ","The relationship between BCMO1 gene variants and macular pigment optical density in persons with and without age-related macular degeneration.","2014-02-19"," 0.01"," "," "," 24"," 20"," 3","+"
"rs11645428"," 24586510  ","The relationship between BCMO1 gene variants and macular pigment optical density in persons with and without age-related macular degeneration.","2014-02-19"," 0.01"," "," "," 24"," 20"," 3","+"
"rs6420424"," 24586510  ","The relationship between BCMO1 gene variants and macular pigment optical density in persons with and without age-related macular degeneration.","2014-02-19"," 0.01"," "," "," 24"," 20"," 3","+"
"rs6564851"," 24586510  ","The relationship between BCMO1 gene variants and macular pigment optical density in persons with and without age-related macular degeneration.","2014-02-19"," 0.01"," "," "," 24"," 20"," 3","+"
"rs11645428"," 24586510  ","The relationship between BCMO1 gene variants and macular pigment optical density in persons with and without age-related macular degeneration.","2014-02-19"," 0.01"," "," "," 24"," 20"," 3","+"
"rs6420424"," 24586510  ","The relationship between BCMO1 gene variants and macular pigment optical density in persons with and without age-related macular degeneration.","2014-02-19"," 0.01"," "," "," 24"," 20"," 3","+"
"rs6564851"," 24586510  ","The relationship between BCMO1 gene variants and macular pigment optical density in persons with and without age-related macular degeneration.","2014-02-19"," 0.01"," "," "," 24"," 20"," 3","+"
"rs833061"," 24522370  ","Predictive value of VEGF A and VEGFR2 polymorphisms in the response to intravitreal ranibizumab treatment for wet AMD.","2014-02-13"," 0.0"," "," "," 94"," "," 7","+"
"rs547154"," 24519512  ","Complement C3, C2, and factor B gene polymorphisms and age-related macular degeneration in a Greek cohort study.","2014-01-30"," 0.0031"," "," Greek Caucasian"," 120"," 140"," 12","+"
"rs2230199"," 24519512  ","Complement C3, C2, and factor B gene polymorphisms and age-related macular degeneration in a Greek cohort study.","2014-01-30"," 0.0031"," "," Greek Caucasian"," 120"," 140"," 18","+"
"rs641153"," 24519512  ","Complement C3, C2, and factor B gene polymorphisms and age-related macular degeneration in a Greek cohort study.","2014-01-30"," 0.0031"," "," Greek Caucasian"," 120"," 140"," 12","+"
"rs12614"," 24519512  ","Complement C3, C2, and factor B gene polymorphisms and age-related macular degeneration in a Greek cohort study.","2014-01-30"," 0.0031"," "," Greek Caucasian"," 120"," 140"," 1","+"
"rs2230199"," 24519512  ","Complement C3, C2, and factor B gene polymorphisms and age-related macular degeneration in a Greek cohort study.","2014-01-30"," 0.0031"," "," Greek Caucasian"," 120"," 140"," 18","+"
"rs2230199"," 24519512  ","Complement C3, C2, and factor B gene polymorphisms and age-related macular degeneration in a Greek cohort study.","2014-01-30"," 0.0055"," 6.41"," Greek Caucasian"," 120"," 140"," 18","+"
"rs2230199"," 24519512  ","Complement C3, C2, and factor B gene polymorphisms and age-related macular degeneration in a Greek cohort study.","2014-01-30"," 0.0001"," "," Greek Caucasian"," 120"," 140"," 18","+"
"rs3764261"," 24498989  ","CETP Gene may be Associated with Advanced Age-Related Macular Degeneration in the Chinese Population.","2014-02-05"," 0.011"," 0.49"," Chinese"," 119"," 99"," 7","+"
"rs12678919"," 24498989  ","CETP Gene may be Associated with Advanced Age-Related Macular Degeneration in the Chinese Population.","2014-02-05"," 0.05"," "," Chinese"," 119"," 99"," 2","+"
"rs1883025"," 24498989  ","CETP Gene may be Associated with Advanced Age-Related Macular Degeneration in the Chinese Population.","2014-02-05"," 0.05"," "," Chinese"," 119"," 99"," 5","+"
"rs3764261"," 24498989  ","CETP Gene may be Associated with Advanced Age-Related Macular Degeneration in the Chinese Population.","2014-02-05"," 0.05"," "," Chinese"," 119"," 99"," 7","+"
"rs1047286"," 24453474  ","CFH haplotypes and ARMS2, C2, C3, and CFB alleles show association with susceptibility to age-related macular degeneration in Mexicans.","2014-01-14"," 1.59e-05"," 2.48"," Mexican"," 48"," 96"," 4","+"
"rs2230199"," 24453474  ","CFH haplotypes and ARMS2, C2, C3, and CFB alleles show association with susceptibility to age-related macular degeneration in Mexicans.","2014-01-14"," 6.28e-05"," 2.15"," Mexican"," 48"," 96"," 18","+"
"rs10490924"," 24453474  ","CFH haplotypes and ARMS2, C2, C3, and CFB alleles show association with susceptibility to age-related macular degeneration in Mexicans.","2014-01-14"," 5.42e-23"," 3.09"," Mexican"," 48"," 96"," 55","+"
"rs7792525"," 24439028  ","Search for age-related macular degeneration risk variants in Alzheimer disease genes and pathways.","2013-12-19"," 2.34e-06"," 1.14"," "," "," "," 1","+"
"rs3752228"," 24439028  ","Search for age-related macular degeneration risk variants in Alzheimer disease genes and pathways.","2013-12-19"," 0.00012"," 1.22"," "," "," "," 1","+"
"rs8070488"," 24439028  ","Search for age-related macular degeneration risk variants in Alzheimer disease genes and pathways.","2013-12-19"," 7.52e-05"," 0.91"," "," "," "," 1","+"
"rs2071590"," 24439028  ","Search for age-related macular degeneration risk variants in Alzheimer disease genes and pathways.","2013-12-19"," 1.17e-05"," 0.89"," "," "," "," 1","+"
"rs800292"," 24393350  ","Genes in the high-density lipoprotein metabolic pathway in age-related macular degeneration and polypoidal choroidal vasculopathy.","2014-01-03"," 200.0"," "," Chinese"," 233"," 275"," 16","+"
"rs11200638"," 24393350  ","Genes in the high-density lipoprotein metabolic pathway in age-related macular degeneration and polypoidal choroidal vasculopathy.","2014-01-03"," 0.000182"," "," Chinese"," 233"," 275"," 42","+"
"rs3764261"," 24393350  ","Genes in the high-density lipoprotein metabolic pathway in age-related macular degeneration and polypoidal choroidal vasculopathy.","2014-01-03"," 0.000404"," "," Chinese"," 233"," 275"," 7","+"
"rs57137919"," 24393350  ","Genes in the high-density lipoprotein metabolic pathway in age-related macular degeneration and polypoidal choroidal vasculopathy.","2014-01-03"," 0.03"," "," Chinese"," 233"," 275"," 1","+"
"rs4576072"," 24365177  ","Polymorphisms in vascular endothelial growth factor receptor 2 are associated with better response rates to ranibizumab treatment in age-related macular degeneration.","2013-12-21"," 0.02"," "," "," 366"," "," 2","+"
"rs4576072"," 24365177  ","Polymorphisms in vascular endothelial growth factor receptor 2 are associated with better response rates to ranibizumab treatment in age-related macular degeneration.","2013-12-21"," 0.01"," "," "," 366"," "," 2","+"
"rs6828477"," 24365177  ","Polymorphisms in vascular endothelial growth factor receptor 2 are associated with better response rates to ranibizumab treatment in age-related macular degeneration.","2013-12-21"," 0.01"," "," "," 366"," "," 1","+"
"rs13278062"," 24235014  ","TNFRSF10A-LOC389641 rs13278062 but not REST-C4orf14-POLR2B-IGFBP7 rs1713985 was found associated with age-related macular degeneration in a Chinese population.","2013-12-17"," 0.05"," "," Chinese Singaporean Japanese"," 1273"," 1652"," 4","+"
"rs1713985"," 24235014  ","TNFRSF10A-LOC389641 rs13278062 but not REST-C4orf14-POLR2B-IGFBP7 rs1713985 was found associated with age-related macular degeneration in a Chinese population.","2013-12-17"," 0.05"," "," Chinese Singaporean Japanese"," 1273"," 1652"," 4","+"
"rs13278062"," 24235014  ","TNFRSF10A-LOC389641 rs13278062 but not REST-C4orf14-POLR2B-IGFBP7 rs1713985 was found associated with age-related macular degeneration in a Chinese population.","2013-12-17"," 0.004"," 1.17"," Chinese Singaporean Japanese"," 1273"," 1652"," 4","+"
"rs493258"," 24223199  ","Association of HDL-related loci with age-related macular degeneration and plasma lutein and zeaxanthin: the Alienor study.","2013-11-06"," 0.049"," 0.64"," "," "," "," 9","+"
"rs10468017"," 24223199  ","Association of HDL-related loci with age-related macular degeneration and plasma lutein and zeaxanthin: the Alienor study.","2013-11-06"," 0.03"," 0.26"," "," "," "," 10","+"
"rs3764261"," 24223199  ","Association of HDL-related loci with age-related macular degeneration and plasma lutein and zeaxanthin: the Alienor study.","2013-11-06"," 0.03"," "," "," "," "," 7","+"
"rs2075650"," 24146538  ","TOMM40 rs2075650 polymorphism shows no association with neovascular age-related macular degeneration or polypoidal choroidal vasculopathy in a Chinese population.","2013-09-27"," 0.05"," "," Chinese"," 300"," 300"," 7","+"
"rs2075650"," 24146538  ","TOMM40 rs2075650 polymorphism shows no association with neovascular age-related macular degeneration or polypoidal choroidal vasculopathy in a Chinese population.","2013-09-27"," 0.05"," "," Chinese"," 300"," 300"," 7","+"
"rs11200638"," 24080590  ","Genetic association with response to intravitreal ranibizumab for neovascular age-related macular degeneration in the Han Chinese population.","2013-09-25"," 0.022"," "," "," 168"," "," 42","+"
"rs12594956"," 24059022  ","Association between the 25129A > C polymorphism of the nuclear respiratory factor 2 gene and age-related macular degeneration.",""," 0.023"," 1.96"," "," 281"," 105"," 1","+"
"rs10033900"," 23900096  ","[Association of single nucleotide polymorphism in complement factor I gene with age-related macular degeneration].",""," 0.002"," 0.57"," Chinese"," 120"," 140"," 4","+"
"rs10033900"," 23900096  ","[Association of single nucleotide polymorphism in complement factor I gene with age-related macular degeneration].",""," 0.079"," "," Chinese"," 120"," 140"," 4","+"
"rs13117504"," 23900096  ","[Association of single nucleotide polymorphism in complement factor I gene with age-related macular degeneration].",""," 0.003"," 0.56"," Chinese"," 120"," 140"," 2","+"
"rs13117504"," 23900096  ","[Association of single nucleotide polymorphism in complement factor I gene with age-related macular degeneration].",""," 0.59"," "," Chinese"," 120"," 140"," 2","+"
"rs2285714"," 23900096  ","[Association of single nucleotide polymorphism in complement factor I gene with age-related macular degeneration].",""," 0.31"," "," Chinese"," 120"," 140"," 4","+"
"rs2285714"," 23900096  ","[Association of single nucleotide polymorphism in complement factor I gene with age-related macular degeneration].",""," 0.13"," "," Chinese"," 120"," 140"," 4","+"
"rs10483810"," 23868022  ","RAD51 gene is associated with advanced age-related macular degeneration in Chinese population.","2013-07-15"," 0.002"," 12"," Chinese"," 119"," 99"," 2","+"
"rs1713985"," 23868022  ","RAD51 gene is associated with advanced age-related macular degeneration in Chinese population.","2013-07-15"," 0.05"," "," Chinese"," 119"," 99"," 4","+"
"rs9542236"," 23868022  ","RAD51 gene is associated with advanced age-related macular degeneration in Chinese population.","2013-07-15"," 0.05"," "," Chinese"," 119"," 99"," 1","+"
"rs10483810"," 23868022  ","RAD51 gene is associated with advanced age-related macular degeneration in Chinese population.","2013-07-15"," 0.05"," "," Chinese"," 119"," 99"," 2","+"
"rs4586"," 23848218  ","Predictive model for earlier diagnosis of suspected age-related macular degeneration patients.","2013-07-13"," 0.05"," "," "," 106"," "," 2","+"
"rs699947"," 23842101  ","Genetic factors associated with response to intravitreal ranibizumab in Korean patients with neovascular age-related macular degeneration.",""," 0.0071"," "," Korean"," 136"," "," 4","+"
"rs2227306"," 23840568  ","Haplotypes in IL-8 Gene Are Associated to Age-Related Macular Degeneration: A Case-Control Study.","2013-06-19"," 4.15e-05"," "," Italian"," 60"," 30"," 1","+"
"rs943080"," 23745581  ","Common variant in VEGFA and response to anti-VEGF therapy for neovascular age-related macular degeneration.",""," 0.019"," "," "," "," "," 5","+"
"rs943080"," 23745581  ","Common variant in VEGFA and response to anti-VEGF therapy for neovascular age-related macular degeneration.",""," 0.002"," "," "," "," "," 5","+"
"rs943080"," 23745581  ","Common variant in VEGFA and response to anti-VEGF therapy for neovascular age-related macular degeneration.",""," 0.012"," "," "," "," "," 5","+"
"rs943080"," 23745581  ","Common variant in VEGFA and response to anti-VEGF therapy for neovascular age-related macular degeneration.",""," 0.012"," "," "," "," "," 5","+"
"rs1061170"," 23706946  ","Incidence of choroidal neovascularization in the fellow eye in the comparison of age-related macular degeneration treatments trials.","2013-05-22"," 0.35"," "," "," 362"," "," 38","+"
